,song_name,song_id,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1424,Unchain My Heart,6oyYKWTbYt5Zb8tIiLZbmH,Joe Cocker,0.751,0.674,9,-12.976,0,0.0425,0.0214,0.000143,0.32,0.696,117.969,audio_features,6oyYKWTbYt5Zb8tIiLZbmH,spotify:track:6oyYKWTbYt5Zb8tIiLZbmH,https://api.spotify.com/v1/tracks/6oyYKWTbYt5Zb8tIiLZbmH,https://api.spotify.com/v1/audio-analysis/6oyYKWTbYt5Zb8tIiLZbmH,304293,4
1425,So Far Away - Full Version,33EAXRL27QIjSVA5x6zEMq,Dire Straits,0.701,0.656,4,-6.593,1,0.0265,0.245,0.164,0.0627,0.665,114.425,audio_features,33EAXRL27QIjSVA5x6zEMq,spotify:track:33EAXRL27QIjSVA5x6zEMq,https://api.spotify.com/v1/tracks/33EAXRL27QIjSVA5x6zEMq,https://api.spotify.com/v1/audio-analysis/33EAXRL27QIjSVA5x6zEMq,312267,4
1426,Americanos,0WFyFJBpLuarpIQTMQ5Lr3,Holly Johnson,0.68,0.782,11,-12.755,1,0.0345,0.0489,2.75e-06,0.168,0.866,110.115,audio_features,0WFyFJBpLuarpIQTMQ5Lr3,spotify:track:0WFyFJBpLuarpIQTMQ5Lr3,https://api.spotify.com/v1/tracks/0WFyFJBpLuarpIQTMQ5Lr3,https://api.spotify.com/v1/audio-analysis/0WFyFJBpLuarpIQTMQ5Lr3,215973,4
1427,Learning To Fly,4DWzGxXc3shAzDGy2UIaL5,Tom Petty and the Heartbreakers,0.662,0.784,0,-9.252,1,0.0283,0.167,8.94e-05,0.239,0.945,116.769,audio_features,4DWzGxXc3shAzDGy2UIaL5,spotify:track:4DWzGxXc3shAzDGy2UIaL5,https://api.spotify.com/v1/tracks/4DWzGxXc3shAzDGy2UIaL5,https://api.spotify.com/v1/audio-analysis/4DWzGxXc3shAzDGy2UIaL5,241933,4
1428,"Burning Heart - From ""Rocky IV"" Soundtrack",2avaSeKHI5l4sLruVfLdi2,Survivor,0.651,0.665,9,-7.43,0,0.0269,0.221,7.91e-06,0.0403,0.647,97.996,audio_features,2avaSeKHI5l4sLruVfLdi2,spotify:track:2avaSeKHI5l4sLruVfLdi2,https://api.spotify.com/v1/tracks/2avaSeKHI5l4sLruVfLdi2,https://api.spotify.com/v1/audio-analysis/2avaSeKHI5l4sLruVfLdi2,230720,4
1429,Sunglasses At Night,1QbQL5m30YNvukitIqAnFG,Corey Hart,0.686,0.609,10,-11.469,0,0.0444,0.258,0.00015,0.113,0.719,127.736,audio_features,1QbQL5m30YNvukitIqAnFG,spotify:track:1QbQL5m30YNvukitIqAnFG,https://api.spotify.com/v1/tracks/1QbQL5m30YNvukitIqAnFG,https://api.spotify.com/v1/audio-analysis/1QbQL5m30YNvukitIqAnFG,320528,4
1430,Every Time You Go Away,3ZI3sK9ZJB3LOiZtCs9l3p,Paul Young,0.608,0.604,5,-12.285,1,0.0433,0.169,0.000133,0.106,0.673,164.254,audio_features,3ZI3sK9ZJB3LOiZtCs9l3p,spotify:track:3ZI3sK9ZJB3LOiZtCs9l3p,https://api.spotify.com/v1/tracks/3ZI3sK9ZJB3LOiZtCs9l3p,https://api.spotify.com/v1/audio-analysis/3ZI3sK9ZJB3LOiZtCs9l3p,324347,4
1431,Piano Man,3FCto7hnn1shUyZL42YgfO,Billy Joel,0.334,0.472,0,-8.792,1,0.0277,0.6,3.77e-06,0.317,0.431,179.167,audio_features,3FCto7hnn1shUyZL42YgfO,spotify:track:3FCto7hnn1shUyZL42YgfO,https://api.spotify.com/v1/tracks/3FCto7hnn1shUyZL42YgfO,https://api.spotify.com/v1/audio-analysis/3FCto7hnn1shUyZL42YgfO,336093,3
1432,Fox on the Run - Single Version,23QyZNbiKujRQjE4omMvRi,Sweet,0.488,0.753,9,-6.971,1,0.0369,0.00638,0.0,0.0677,0.698,127.522,audio_features,23QyZNbiKujRQjE4omMvRi,spotify:track:23QyZNbiKujRQjE4omMvRi,https://api.spotify.com/v1/tracks/23QyZNbiKujRQjE4omMvRi,https://api.spotify.com/v1/audio-analysis/23QyZNbiKujRQjE4omMvRi,201093,4
1433,Lovely Day,1QQRBPMzXbL4z26mnIvgZD,Bill Withers,0.692,0.594,9,-9.862,1,0.0319,0.301,0.00453,0.0997,0.733,97.921,audio_features,1QQRBPMzXbL4z26mnIvgZD,spotify:track:1QQRBPMzXbL4z26mnIvgZD,https://api.spotify.com/v1/tracks/1QQRBPMzXbL4z26mnIvgZD,https://api.spotify.com/v1/audio-analysis/1QQRBPMzXbL4z26mnIvgZD,254893,4
